code,name,definition,source,has_definition,num_synonyms
G03.0,Nonpyogenic meningitis,"Aseptic meningitis; Nonpyogenic meningitis; Nonbacterial meningitis. A syndrome characterized by headache, neck stiffness, low grade fever, and CSF lymphocytic pleocytosis in the absence of an acute bacterial pathogen. Viral meningitis is the most frequent cause although MYCOPLASMA INFECTIONS; RICKETTSIA INFECTIONS; diagnostic or therapeutic procedures; NEOPLASTIC PROCESSES; septic perimeningeal foci; and other conditions may result in this syndrome. (From Adams et al., Principles of Neurology, 6th ed, p745)",MSH,True,6
G03.1,Chronic meningitis,Chronic meningitis,ICD10_XML,False,4
G03.2,Benign recurrent meningitis [Mollaret],Benign recurrent meningitis [Mollaret],ICD10_XML,False,4
G03.8,Meningitis due to other specified causes,Meningitis due to other specified causes,ICD10_XML,False,4
G03.9,"Meningitis, unspecified","Meningitis, unspecified; Arachnoiditis (spinal) NOS. Inflammation of the coverings of the brain and/or spinal cord, which consist of the PIA MATER; ARACHNOID; and DURA MATER. Infections (viral, bacterial, and fungal) are the most common causes of this condition, but subarachnoid hemorrhage (HEMORRHAGES, SUBARACHNOID), chemical irritation (chemical MENINGITIS), granulomatous conditions, neoplastic conditions (CARCINOMATOUS MENINGITIS), and other inflammatory conditions may produce this syndrome. (From Joynt, Clinical Neurology, 1994, Ch24, p6)",MSH,True,5
G04,"Encephalitis, myelitis and encephalomyelitis","Encephalitis, myelitis and encephalomyelitis; meningoencephalitis; meningomyelitis; acute ascending myelitis. An inflammatory process involving the brain (ENCEPHALITIS) and meninges (MENINGITIS), most often produced by pathogenic organisms which invade the central nervous system, and occasionally by toxins, autoimmune disorders, and other conditions.",MSH,True,7
G04.0,Acute disseminated encephalitis,Acute disseminated encephalitis and encephalomyelitis (ADEM); Acute disseminated encephalitis,ICD10_XML,False,4
G04.1,Human T-cell lymphotropic virus associated myelopathy,"Tropical spastic paraplegia. A subacute paralytic myeloneuropathy occurring endemically in tropical areas such as the Caribbean, Colombia, India, and Africa, as well as in the southwestern region of Japan; associated with infection by HUMAN T-CELL LEUKEMIA VIRUS I. Clinical manifestations include a slowly progressive spastic weakness of the legs, increased reflexes, Babinski signs, incontinence, and loss of vibratory and position sensation. On pathologic examination inflammatory, demyelination, and necrotic lesions may be found in the spinal cord. (Adams et al., Principles of Neurology, 6th ed, p1239)",MSH,True,4
G04.2,"Bacterial meningoencephalitis and meningomyelitis, not elsewhere classified","Bacterial meningoencephalitis and meningomyelitis, not elsewhere classified; Bacterial meningoencephalitis and meningomyelitis, NEC",ICD10_XML,False,4
G04.8,"Other encephalitis, myelitis and encephalomyelitis","Other encephalitis, myelitis and encephalomyelitis",ICD10_XML,False,4
G04.9,"Encephalitis, myelitis and encephalomyelitis, unspecified","Encephalitis, myelitis and encephalomyelitis, unspecified",ICD10_XML,False,4
G05,"Encephalitis, myelitis and encephalomyelitis in diseases classified elsewhere","Encephalitis, myelitis and encephalomyelitis in diseases classified elsewhere; Encphlts, myelitis & encephalomyelitis in dis classd elswhr",ICD10_XML,False,4
G05.0,"Encephalitis, myelitis and encephalomyelitis in bacterial diseases classified elsewhere","Encephalitis, myelitis and encephalomyelitis in bacterial diseases classified elsewhere",ICD10_XML,False,2
G05.1,"Encephalitis, myelitis and encephalomyelitis in viral diseases classified elsewhere","Encephalitis, myelitis and encephalomyelitis in viral diseases classified elsewhere",ICD10_XML,False,2
G05.2,"Encephalitis, myelitis and encephalomyelitis in other infectious and parasitic diseases classified elsewhere","Encephalitis, myelitis and encephalomyelitis in other infectious and parasitic diseases classified elsewhere",ICD10_XML,False,2
G05.8,"Encephalitis, myelitis and encephalomyelitis in other diseases classified elsewhere","Encephalitis, myelitis and encephalomyelitis in other diseases classified elsewhere",ICD10_XML,False,2
G06,Intracranial and intraspinal abscess and granuloma,Intracranial and intraspinal abscess and granuloma,ICD10_XML,False,4
G06.0,Intracranial abscess and granuloma,Intracranial abscess and granuloma; Cerebellar abscess (embolic); Cerebral abscess (embolic); Brain [any part] abscess (embolic); Intracranial epidural abscess or granuloma,ICD10_XML,False,11
G06.1,Intraspinal abscess and granuloma,Intraspinal abscess and granuloma; Abscess (embolic) of spinal cord [any part]; Intraspinal epidural abscess or granuloma; Intraspinal extradural abscess or granuloma; Intraspinal subdural abscess or granuloma,ICD10_XML,False,8
G06.2,"Extradural and subdural abscess, unspecified","Extradural and subdural abscess, unspecified",ICD10_XML,False,4
G07,Intracranial and intraspinal abscess and granuloma in diseases classified elsewhere,Intracranial and intraspinal abscess and granuloma in diseases classified elsewhere; Intcrn & intraspinal abscs & granuloma in dis classd elswhr,ICD10_XML,False,4
G08,Intracranial and intraspinal phlebitis and thrombophlebitis,Intracranial and intraspinal phlebitis and thrombophlebitis; Septic embolism of intracranial or intraspinal venous sinuses and veins; Septic endophlebitis of intracranial or intraspinal venous sinuses and veins; Septic phlebitis of intracranial or intraspinal venous sinuses and veins; Septic thrombophlebitis of intracranial or intraspinal venous sinuses and veins. Evidence of intracranial and intraspinal phlebitis and thrombophlebitis.,NCI,True,9
G09,Sequelae of inflammatory diseases of central nervous system,Sequelae of inflammatory diseases of central nervous system,ICD10_XML,False,4
G10,Huntington disease,"Huntington's disease; Huntington's chorea; Huntington's dementia. A familial disorder inherited as an autosomal dominant trait and characterized by the onset of progressive CHOREA and DEMENTIA in the fourth or fifth decade of life. Common initial manifestations include paranoia; poor impulse control; DEPRESSION; HALLUCINATIONS; and DELUSIONS. Eventually intellectual impairment; loss of fine motor control; ATHETOSIS; and diffuse chorea involving axial and limb musculature develops, leading to a vegetative state within 10-15 years of disease onset. The juvenile variant has a more fulminant course including SEIZURES; ATAXIA; dementia; and chorea. (From Adams et al., Principles of Neurology, 6th ed, pp1060-4)",MSH,True,6
G11,Hereditary ataxia,Hereditary ataxia,ICD10_XML,False,4
G11.0,Congenital nonprogressive ataxia,"Congenital nonprogressive ataxia. A clinically and genetically heterogenous group of rare, predominantly non-progressive neurological disorders present at birth and characterized by hypotonia, developmental delays, and ataxia. Cognitive and motor impairments may improve over time.",NCI,True,4
G11.1,Early-onset cerebellar ataxia,Early-onset cerebellar ataxia. Evidence of early-onset cerebellar ataxia.,NCI,True,4
G11.2,Late-onset cerebellar ataxia,Late-onset cerebellar ataxia. Evidence of late-onset cerebellar ataxia.,NCI,True,4
G11.3,Cerebellar ataxia with defective DNA repair,Cerebellar ataxia with defective DNA repair; Ataxia telangiectasia [Louis-Bar]. Evidence of cerebellar ataxia with defective DNA repair.,NCI,True,5
G11.4,Hereditary spastic paraplegia,"Hereditary spastic paraplegia. A group of inherited diseases that share similar phenotypes but are genetically diverse. Different genetic loci for autosomal recessive, autosomal dominant, and x-linked forms of hereditary spastic paraplegia have been identified. Clinically, patients present with slowly progressive distal limb weakness and lower extremity spasticity. Peripheral sensory neurons may be affected in the later stages of the disease. (J Neurol Neurosurg Psychiatry 1998 Jan;64(1):61-6; Curr Opin Neurol 1997 Aug;10(4):313-8)",MSH,True,4
G11.8,Other hereditary ataxias,Other hereditary ataxias. Evidence of other hereditary ataxias not specified elsewhere.,NCI,True,4
G11.9,"Hereditary ataxia, unspecified","Hereditary cerebellar ataxia NOS; Hereditary cerebellar degeneration; Hereditary cerebellar disease; Hereditary cerebellar syndrome; Hereditary ataxia, unspecified. Cerebellar ataxia that is transmitted from parent to child.",NCI,True,8
G12,Spinal muscular atrophy and related syndromes,Spinal muscular atrophy and related syndromes,ICD10_XML,False,4
G12.0,"Infantile spinal muscular atrophy, type I [Werdnig-Hoffman]","Infantile spinal muscular atrophy, type I [Werdnig-Hoffman]. The most severe form of spinal muscular atrophy. It is manifested in the first year of life with muscle weakness, poor muscle tone, and lack of motor development. The motor neuron death affects the major organ systems, particularly the respiratory system. Most patients die before the age of two secondary to pneumonia.",NCI,True,4
G12.1,Other inherited spinal muscular atrophy,Progressive bulbar palsy of childhood [Fazio-Londe]; Distal spinal muscular atrophy; Other inherited spinal muscular atrophy; Scapuloperoneal form spinal muscular atrophy; Adult form spinal muscular atrophy. Evidence of other inherited spinal muscular atrophy not specified elsewhere.,NCI,True,10
G12.2,Motor neuron disease,"Motor neuron disease. Diseases characterized by a selective degeneration of the motor neurons of the spinal cord, brainstem, or motor cortex. Clinical subtypes are distinguished by the major site of degeneration. In AMYOTROPHIC LATERAL SCLEROSIS there is involvement of upper, lower, and brainstem motor neurons. In progressive muscular atrophy and related syndromes (see MUSCULAR ATROPHY, SPINAL) the motor neurons in the spinal cord are primarily affected. With progressive bulbar palsy (BULBAR PALSY, PROGRESSIVE), the initial degeneration occurs in the brainstem. In primary lateral sclerosis, the cortical neurons are affected in isolation. (Adams et al., Principles of Neurology, 6th ed, p1089)",MSH,True,4
G12.8,Other spinal muscular atrophies and related syndromes,Other spinal muscular atrophies and related syndromes. Evidence of other spinal muscular atrophies and related syndromes not specified elsewhere.,NCI,True,4
G12.9,"Spinal muscular atrophy, unspecified","Spinal muscular atrophy, unspecified. A group of disorders marked by progressive degeneration of motor neurons in the spinal cord resulting in weakness and muscular atrophy, usually without evidence of injury to the corticospinal tracts. Diseases in this category include Werdnig-Hoffmann disease and later onset SPINAL MUSCULAR ATROPHIES OF CHILDHOOD, most of which are hereditary. (Adams et al., Principles of Neurology, 6th ed, p1089)",MSH,True,4
G13,Systemic atrophies primarily affecting central nervous system in diseases classified elsewhere,Systemic atrophies primarily affecting central nervous system in diseases classified elsewhere; Systemic atrophies aff cnsl in diseases classd elswhr,ICD10_XML,False,4
G13.0,Paraneoplastic neuromyopathy and neuropathy,Paraneoplastic neuromyopathy and neuropathy; Carcinomatous neuromyopathy; Sensorial paraneoplastic neuropathy [Denny Brown]. Evidence of paraneoplastic neuromyopathy and neuropathy.,NCI,True,6
G13.1,Other systemic atrophy primarily affecting central nervous system in neoplastic disease,"Paraneoplastic limbic encephalopathy; Other systemic atrophy primarily affecting central nervous system in neoplastic disease; Oth systemic atrophy aff cnsl in neoplastic disease. A paraneoplastic syndrome marked by degeneration of neurons in the LIMBIC SYSTEM. Clinical features include HALLUCINATIONS, loss of EPISODIC MEMORY; ANOSMIA; AGEUSIA; TEMPORAL LOBE EPILEPSY; DEMENTIA; and affective disturbance (depression). Circulating anti-neuronal antibodies (e.g., anti-Hu; anti-Yo; anti-Ri; and anti-Ma2) and small cell lung carcinomas or testicular carcinoma are frequently associated with this syndrome.",MSH,True,5
G13.2,Systemic atrophy primarily affecting central nervous system in myxoedema,Systemic atrophy primarily affecting central nervous system in myxoedema; Systemic atrophy primarily affecting the central nervous system in myxedema; Systemic atrophy primarily affecting the cnsl in myxedema. Evidence of systemic atrophy primarily affecting the central nervous system in myxedema.,NCI,True,4
G13.8,Systemic atrophy primarily affecting central nervous system in other diseases classified elsewhere,Systemic atrophy primarily affecting central nervous system in other diseases classified elsewhere; Systemic atrophy aff cnsl in oth diseases classd elswhr,ICD10_XML,False,4
G14,Postpolio syndrome,"Postpolio syndrome; postpolio myelitic syndrome. A syndrome characterized by new neuromuscular symptoms that occur at least 15 years after clinical stability has been attained in patients with a prior history of symptomatic poliomyelitis. Clinical features include new muscular weakness and atrophy of the limbs, bulbar innervated musculature, and muscles of respiration, combined with excessive fatigue, joint pain, and reduced stamina. The process is marked by slow progression and periods of stabilization. (From Ann NY Acad Sci 1995 May 25;753:68-80)",MSH,True,3
G20,Parkinson disease,"Parkinson's disease; Paralysis agitans; Idiopathic Parkinsonism or Parkinson's disease; Primary Parkinsonism or Parkinson's disease; Hemiparkinsonism. A progressive, degenerative neurologic disease characterized by a TREMOR that is maximal at rest, retropulsion (i.e. a tendency to fall backwards), rigidity, stooped posture, slowness of voluntary movements, and a masklike facial expression. Pathologic features include loss of melanin containing neurons in the substantia nigra and other pigmented nuclei of the brainstem. LEWY BODIES are present in the substantia nigra and locus coeruleus but may also be found in a related condition (LEWY BODY DISEASE, DIFFUSE) characterized by dementia in combination with varying degrees of parkinsonism. (Adams et al., Principles of Neurology, 6th ed, p1059, pp1067-75)",MSH,True,8
G21,Secondary parkinsonism,"Secondary parkinsonism. Conditions which feature clinical manifestations resembling primary Parkinson disease that are caused by a known or suspected condition. Examples include parkinsonism caused by vascular injury, drugs, trauma, toxin exposure, neoplasms, infections and degenerative or hereditary conditions. Clinical features may include bradykinesia, rigidity, parkinsonian gait, and masked facies. In general, tremor is less prominent in secondary parkinsonism than in the primary form. (From Joynt, Clinical Neurology, 1998, Ch38, pp39-42)",MSH,True,4
G21.0,Malignant neuroleptic syndrome,"Malignant neuroleptic syndrome. A potentially fatal syndrome associated primarily with the use of neuroleptic agents (see ANTIPSYCHOTIC AGENTS) which are in turn associated with dopaminergic receptor blockade (see RECEPTORS, DOPAMINE) in the BASAL GANGLIA and HYPOTHALAMUS, and sympathetic dysregulation. Clinical features include diffuse MUSCLE RIGIDITY; TREMOR; high FEVER; diaphoresis; labile blood pressure; cognitive dysfunction; and autonomic disturbances. Serum CPK level elevation and a leukocytosis may also be present. (From Adams et al., Principles of Neurology, 6th ed, p1199; Psychiatr Serv 1998 Sep;49(9):1163-72)",MSH,True,4
G21.1,Other drug-induced secondary parkinsonism,Other drug-induced secondary parkinsonism. Evidence of other drug-induced secondary Parkinsonism not specified elsewhere.,NCI,True,4
G21.2,Secondary parkinsonism due to other external agents,Secondary parkinsonism due to other external agents. Evidence of secondary parkinsonism due to other external agents.,NCI,True,4
G21.3,Postencephalitic parkinsonism,"Postencephalitic parkinsonism. Parkinsonism following encephalitis, historically seen as a sequella of encephalitis lethargica (Von Economo Encephalitis). The early age of onset, the rapid progression of symptoms followed by stabilization, and the presence of a variety of other neurological disorders (e.g., sociopathic behavior; TICS; MUSCLE SPASMS; oculogyric crises; hyperphagia; and bizarre movements) distinguish this condition from primary PARKINSON DISEASE. Pathologic features include neuronal loss and gliosis concentrated in the MESENCEPHALON; SUBTHALAMUS; and HYPOTHALAMUS. (From Adams et al., Principles of Neurology, 6th ed, p754)",MSH,True,4
G21.4,Vascular parkinsonism,Vascular parkinsonism. Evidence of vascular parkinsonism.,NCI,True,2
G21.8,Other secondary parkinsonism,Other secondary parkinsonism. Evidence of other secondary parkinsonism not specified elsewhere.,NCI,True,4
G21.9,"Secondary parkinsonism, unspecified","Secondary parkinsonism, unspecified. Conditions which feature clinical manifestations resembling primary Parkinson disease that are caused by a known or suspected condition. Examples include parkinsonism caused by vascular injury, drugs, trauma, toxin exposure, neoplasms, infections and degenerative or hereditary conditions. Clinical features may include bradykinesia, rigidity, parkinsonian gait, and masked facies. In general, tremor is less prominent in secondary parkinsonism than in the primary form. (From Joynt, Clinical Neurology, 1998, Ch38, pp39-42)",MSH,True,4
G22,Parkinsonism in diseases classified elsewhere,Parkinsonism in diseases classified elsewhere,ICD10_XML,False,2
G23,Other degenerative diseases of basal ganglia,Other degenerative diseases of basal ganglia,ICD10_XML,False,4
G23.0,Hallervorden-Spatz disease,"Pigmentary pallidal degeneration; Hallervorden-Spatz disease. A rare autosomal recessive degenerative disorder which usually presents in late childhood or adolescence. Clinical manifestations include progressive MUSCLE SPASTICITY; hyperreflexia; MUSCLE RIGIDITY; DYSTONIA; DYSARTHRIA; and intellectual deterioration which progresses to severe dementia over several years. (From Adams et al., Principles of Neurology, 6th ed, p972; Davis & Robertson, Textbook of Neuropathology, 2nd ed, pp972-929)",MSH,True,5
G23.1,Progressive supranuclear ophthalmoplegia [Steele-Richardson-Olszewski],"Progressive supranuclear palsy; Progressive supranuclear ophthalmoplegia; Progressive supranuclear ophthalmoplegia [Steele-Richardson-Olszewski]. A degenerative disease of the central nervous system characterized by balance difficulties; OCULAR MOTILITY DISORDERS (supranuclear ophthalmoplegia); DYSARTHRIA; swallowing difficulties; and axial DYSTONIA. Onset is usually in the fifth decade and disease progression occurs over several years. Pathologic findings include neurofibrillary degeneration and neuronal loss in the dorsal MESENCEPHALON; SUBTHALAMIC NUCLEUS; RED NUCLEUS; pallidum; dentate nucleus; and vestibular nuclei. (From Adams et al., Principles of Neurology, 6th ed, pp1076-7)",MSH,True,5
G23.2,"Multiple system atrophy, parkinsonian type [MSA-P]","Striatonigral degeneration. A sporadic neurodegenerative disease with onset in middle-age characterized clinically by Parkinsonian features (e.g., MUSCLE RIGIDITY; HYPOKINESIA; stooped posture) and HYPOTENSION. This condition is considered a clinical variant of MULTIPLE SYSTEM ATROPHY. Pathologic features include a prominent loss of neurons in the zona compacta of the SUBSTANTIA NIGRA and PUTAMEN. (From Adams et al., Principles of Neurology, 6th ed, p1075-6)",MSH,True,4
G23.3,"Multiple system atrophy, cerebellar type [MSA-C]","Hypomyelination with atrophy of the basal ganglia and cerebellum; Hypomyelination with atrophy of basal ganglia and cerebellum; H-ABC; TUBB4A-related neurologic disorders. A genetic disorder of infancy or early childhood caused by mutation(s) in the TUBB4A gene, encoding the tubulin beta-4A chain. It is characterized by hypomyelination or atrophy of the cerebellum and or putamen leading to delayed motor development, gait instability, and extrapyramidal movement disorders.",NCI,True,4
G23.8,Other specified degenerative diseases of basal ganglia,Other specified degenerative diseases of basal ganglia; Calcification of basal ganglia. Evidence of other specified degenerative diseases of basal ganglia not specified elsewhere.,NCI,True,5
G23.9,"Degenerative disease of basal ganglia, unspecified","Degenerative disease of basal ganglia, unspecified. Evidence of degenerative disease of the basal ganglia.",NCI,True,4
G24,Dystonia,"dyskinesia; Dystonia. Acquired and inherited conditions that feature DYSTONIA as a primary manifestation of disease. These disorders are generally divided into generalized dystonias (e.g., dystonia musculorum deformans) and focal dystonias (e.g., writer's cramp). They are also classified by patterns of inheritance and by age of onset.",MSH,True,5
G24.0,Drug-induced dystonia,Drug-induced dystonia; Drug induced dystonia,ICD10_XML,False,4
G24.1,Idiopathic familial dystonia,"Dystonia musculorum deformans; Dystonia deformans progressiva; (Schwalbe-) Ziehen-Oppenheim disease; Idiopathic familial dystonia; Familial torsion dystonia. A condition characterized by focal DYSTONIA that progresses to involuntary spasmodic contractions of the muscles of the legs, trunk, arms, and face. The hands are often spared, however, sustained axial and limb contractions may lead to a state where the body is grossly contorted. Onset is usually in the first or second decade. Familial patterns of inheritance, primarily autosomal dominant with incomplete penetrance, have been identified. (Adams et al., Principles of Neurology, 6th ed, p1078)",MSH,True,10
G24.2,Idiopathic nonfamilial dystonia,Idiopathic nonfamilial dystonia. Evidence of non-familial idiopathic dystonia.,NCI,True,4
G24.3,Spasmodic torticollis,"Spasmodic torticollis. A common form of DYSTONIA due to involuntary sustained or spasmodic, repetitive muscle contractions in the neck region. According to the position of the twisted neck and head, cervical dystonia can be categorized as torticollis, laterocollis, retrocollis, and a combination of these abnormal postures.",MSH,True,4
G24.4,Idiopathic orofacial dystonia,Orofacial dyskinesia; Idiopathic orofacial dystonia,ICD10_XML,False,5
G24.5,Blepharospasm,Blepharospasm. Excessive winking; tonic or clonic spasm of the orbicularis oculi muscle.,MSH,True,4
G24.8,Other dystonia,Other dystonia; Acquired torsion dystonia NOS. Evidence of other dystonia not specified elsewhere.,NCI,True,5
G24.9,"Dystonia, unspecified","Dyskinesia NOS; Dystonia, unspecified. Acquired and inherited conditions that feature DYSTONIA as a primary manifestation of disease. These disorders are generally divided into generalized dystonias (e.g., dystonia musculorum deformans) and focal dystonias (e.g., writer's cramp). They are also classified by patterns of inheritance and by age of onset.",MSH,True,5
G25,Other extrapyramidal and movement disorders,Other extrapyramidal and movement disorders,ICD10_XML,False,4
G25.0,Essential tremor,"Essential tremor; Familial tremor. A relatively common disorder characterized by a fairly specific pattern of tremors which are most prominent in the upper extremities and neck, inducing titubations of the head. The tremor is usually mild, but when severe may be disabling. An autosomal dominant pattern of inheritance may occur in some families (i.e., familial tremor). (Mov Disord 1988;13(1):5-10)",MSH,True,5
G25.1,Drug-induced tremor,Drug-induced tremor,ICD10_XML,False,4
G25.2,Other specified forms of tremor,"Other specified forms of tremor; Intention tremor. A type of kinetic tremor that occurs during target directed movement is called intention tremor. That is, an oscillatory cerebellar ataxia that tends to be absent when the limbs are inactive and during the first part of voluntary movement but worsening as the movement continues and greater precision is required (e.g., in touching a target such as the patient's nose or a physician's finger). [https://orcid.org/0000-0002-0736-9199, PMID:16344298]",HPO,True,5
G25.3,Myoclonus,"Myoclonus; Palatal myoclonus; Drug-induced myoclonus. Involuntary shock-like contractions, irregular in rhythm and amplitude, followed by relaxation, of a muscle or a group of muscles. This condition may be a feature of some CENTRAL NERVOUS SYSTEM DISEASES; (e.g., EPILEPSY, MYOCLONIC). Nocturnal myoclonus is the principal feature of the NOCTURNAL MYOCLONUS SYNDROME. (From Adams et al., Principles of Neurology, 6th ed, pp102-3).",MSH,True,6
G25.4,Drug-induced chorea,Drug-induced chorea. Evidence of drug-induced chorea.,NCI,True,4
G25.5,Other chorea,"Chorea NOS; Other chorea. Involuntary, forcible, rapid, jerky movements that may be subtle or become confluent, markedly altering normal patterns of movement. Hypotonia and pendular reflexes are often associated. Conditions which feature recurrent or persistent episodes of chorea as a primary manifestation of disease are referred to as CHOREATIC DISORDERS. Chorea is also a frequent manifestation of BASAL GANGLIA DISEASES.",MSH,True,5
G25.6,Drug-induced tics and other tics of organic origin,Drug-induced tics and other tics of organic origin; Drug induced tics and other tics of organic origin,ICD10_XML,False,4
G25.8,Other specified extrapyramidal and movement disorders,Other specified extrapyramidal and movement disorders. Evidence of other specified extrapyramidal and movement disorders not specified elsewhere.,NCI,True,4
G25.9,"Extrapyramidal and movement disorder, unspecified","Extrapyramidal and movement disorder, unspecified",ICD10_XML,False,4
G26,Extrapyramidal and movement disorders in diseases classified elsewhere,Extrapyramidal and movement disorders in diseases classified elsewhere; Extrapyramidal and movement disord in diseases classd elswhr. Evidence of extrapyramidal and movement disorder in diseases classified elsewhere.,NCI,True,4
G30,Alzheimer disease,"Alzheimer's disease; Alzheimer's dementia senile and presenile forms. A degenerative disease of the BRAIN characterized by the insidious onset of DEMENTIA. Impairment of MEMORY, judgment, attention span, and problem solving skills are followed by severe APRAXIAS and a global loss of cognitive abilities. The condition primarily occurs after age 60, and is marked pathologically by severe cortical atrophy and the triad of SENILE PLAQUES; NEUROFIBRILLARY TANGLES; and NEUROPIL THREADS. (From Adams et al., Principles of Neurology, 6th ed, pp1049-57)",MSH,True,5
G30.0,Alzheimer disease with early onset,Alzheimer's disease with early onset. Evidence of Alzheimer's disease with early onset.,NCI,True,4
G30.1,Alzheimer disease with late onset,Alzheimer's disease with late onset. Evidence of Alzheimer's disease with late onset.,NCI,True,4
G30.8,Other Alzheimer disease,Other Alzheimer's disease. Evidence of other Alzheimer's disease not specified elsewhere.,NCI,True,4
G30.9,"Alzheimer disease, unspecified","Alzheimer's disease, unspecified. A degenerative disease of the BRAIN characterized by the insidious onset of DEMENTIA. Impairment of MEMORY, judgment, attention span, and problem solving skills are followed by severe APRAXIAS and a global loss of cognitive abilities. The condition primarily occurs after age 60, and is marked pathologically by severe cortical atrophy and the triad of SENILE PLAQUES; NEUROFIBRILLARY TANGLES; and NEUROPIL THREADS. (From Adams et al., Principles of Neurology, 6th ed, pp1049-57)",MSH,True,4
G31,"Other degenerative diseases of nervous system, not elsewhere classified","Other degenerative diseases of nervous system, not elsewhere classified; Oth degenerative diseases of nervous system, NEC",ICD10_XML,False,4
G31.0,Circumscribed brain atrophy,"Circumscribed brain atrophy; Frontotemporal dementia. The most common clinical form of FRONTOTEMPORAL LOBAR DEGENERATION, this dementia presents with personality and behavioral changes often associated with disinhibition, apathy, and lack of insight.",MSH,True,4
G31.1,"Senile degeneration of brain, not elsewhere classified","Senile degeneration of brain, not elsewhere classified",ICD10_XML,False,4
G31.2,Degeneration of nervous system due to alcohol,Alcoholic cerebellar degeneration; Degeneration of nervous system due to alcohol; Alcoholic cerebellar ataxia; Alcoholic cerebral degeneration; Dysfunction of the autonomic nervous system due to alcohol. Evidence of degeneration of the nervous system due to alcohol.,NCI,True,9
G31.8,Other specified degenerative diseases of nervous system,Other specified degenerative diseases of nervous system. Evidence of other specified degenerative diseases of nervous system not specified elsewhere.,NCI,True,4
G31.9,"Degenerative disease of nervous system, unspecified","Degenerative disease of nervous system, unspecified. Hereditary and sporadic conditions which are characterized by progressive nervous system dysfunction. These disorders are often associated with atrophy of the affected central or peripheral nervous system structures.",MSH,True,4
G32,Other degenerative disorders of nervous system in diseases classified elsewhere,Other degenerative disorders of nervous system in diseases classified elsewhere; Oth degeneratv disord of nervous sys in dis classd elswhr. Evidence of other degenerative disorder of nervous system in disease classified elsewhere.,NCI,True,4
G32.0,Subacute combined degeneration of spinal cord in diseases classified elsewhere,Subacute combined degeneration of spinal cord in diseases classified elsewhere; Subac comb degeneration of spinal cord in dis classd elswhr; Dana-Putnam syndrome; Sclerosis of spinal cord (combined) (dorsolateral) (posterolateral). A neuropathy due to VITAMIN B 12 DEFICIENCY or to excessive NITROUS OXIDE inhalation. It is associated with overproduction of the myelinolytic TUMOR NECROSIS FACTOR-ALPHA.,MSH,True,6
G32.8,Other specified degenerative disorders of nervous system in diseases classified elsewhere,Other specified degenerative disorders of nervous system in diseases classified elsewhere; Oth degeneratv disord of nervous sys in dis classd elswhr,ICD10_XML,False,4
G35,Multiple sclerosis,"Multiple sclerosis. An autoimmune disorder mainly affecting young adults and characterized by destruction of myelin in the central nervous system. Pathologic findings include multiple sharply demarcated areas of demyelination throughout the white matter of the central nervous system. Clinical manifestations include visual loss, extra-ocular movement disorders, paresthesias, loss of sensation, weakness, dysarthria, spasticity, ataxia, and bladder dysfunction. The usual pattern is one of recurrent attacks followed by partial recovery (see MULTIPLE SCLEROSIS, RELAPSING-REMITTING), but acute fulminating and chronic progressive forms (see MULTIPLE SCLEROSIS, CHRONIC PROGRESSIVE) also occur. (Adams et al., Principles of Neurology, 6th ed, p903)",MSH,True,4
G36,Other acute disseminated demyelination,Other acute disseminated demyelination,ICD10_XML,False,4
G36.0,Neuromyelitis optica [Devic],"Neuromyelitis optica [Devic]; Demyelination in optic neuritis. A syndrome characterized by acute OPTIC NEURITIS; MYELITIS, TRANSVERSE; demyelinating and/or necrotizing lesions in the OPTIC NERVES and SPINAL CORD; and presence of specific autoantibodies to AQUAPORIN 4.",MSH,True,5
G36.1,Acute and subacute haemorrhagic leukoencephalitis [Hurst],Acute and subacute haemorrhagic leukoencephalitis [Hurst]; Acute and subacute hemorrhagic leukoencephalitis [Hurst],ICD10_XML,False,4
G36.8,Other specified acute disseminated demyelination,Other specified acute disseminated demyelination. Evidence of other specified acute disseminated demyelination not specified elsewhere.,NCI,True,4
G36.9,"Acute disseminated demyelination, unspecified","Acute disseminated demyelination, unspecified. Evidence of acute disseminated demyelination.",NCI,True,4
G37,Other demyelinating diseases of central nervous system,Other demyelinating diseases of central nervous system. Evidence of other demyelinating diseases of the central nervous system not specified elsewhere.,NCI,True,4
G37.0,Diffuse sclerosis,"Schilder's disease; Diffuse sclerosis; Periaxial encephalitis; Diffuse sclerosis of central nervous system. A rare central nervous system demyelinating condition affecting children and young adults. Pathologic findings include a large, sharply defined, asymmetric focus of myelin destruction that may involve an entire lobe or cerebral hemisphere. The clinical course tends to be progressive and includes dementia, cortical blindness, cortical deafness, spastic hemiplegia, and pseudobulbar palsy. Concentric sclerosis of Balo is differentiated from diffuse cerebral sclerosis of Schilder by the pathologic finding of alternating bands of destruction and preservation of myelin in concentric rings. Alpers' Syndrome refers to a heterogeneous group of diseases that feature progressive cerebral deterioration and liver disease. (From Adams et al., Principles of Neurology, 6th ed, p914; Dev Neurosci 1991;13(4-5):267-73)",MSH,True,6
G37.1,Central demyelination of corpus callosum,Central demyelination of corpus callosum. A neurodegenerative condition that is characterized by demyelination or necrosis of the CORPUS CALLOSUM. Symptoms include DEPRESSION; PARANOIA; DEMENTIA; SEIZURES; and ATAXIA which can progress to COMA and death in a few months. Marchiafava-Bignami syndrome is seen often in alcoholics but has been found in non-alcoholics as well.,MSH,True,4
